STDTCODE,PROPER ID,,
1307,IN.NL.KO,,
1308,IN.NL.PH,,
1401,IN.MN.SE,,
1402,IN.MN.TA,,
1403,IN.MN.CC,,
1404,IN.MN.BI,,
1405,IN.MN.TH,,
1406,IN.MN.WI,,
1407,IN.MN.EI,,
1408,IN.MN.UK,,
1409,IN.MN.CD,,
1501,IN.MZ.MA,,
1502,IN.MZ.KO,,
1503,IN.MZ.AI,,
1504,IN.MZ.CH,,
1505,IN.MZ.SE,,
1506,IN.MZ.LU,,
1507,IN.MZ.LA,,
1508,IN.MZ.SA,,
1601,IN.TR.WT,,
1602,IN.TR.ST,,
1603,IN.TR.DH,,
1604,IN.TR.NT,,
1701,IN.ML.WG,,
1702,IN.ML.EG,,
1703,IN.ML.SG,,
1704,IN.ML.WK,,
1705,IN.ML.RB,,
1706,IN.ML.EK,,
1707,IN.ML.JH,,
1801,IN.AS.KK,,
1802,IN.AS.DB,,
1803,IN.AS.GP,,
1804,IN.AS.BO,,
1805,IN.AS.BA,,
1806,IN.AS.KP,,
1807,IN.AS.NL,,
1808,IN.AS.DA,,
1809,IN.AS.MA,,
1810,IN.AS.NG,,
1811,IN.AS.SO,,
1812,IN.AS.LA,,
1813,IN.AS.DM,,
1814,IN.AS.TI,,
1815,IN.AS.DI,,
1816,IN.AS.SI,,
1817,IN.AS.JO,,
1818,IN.AS.GG,,
1819,IN.AS.KA,,
1820,IN.AS.NC,,
1821,IN.AS.CA,,
1822,IN.AS.KR,,
1823,IN.AS.HA,,
1901,IN.WB.DA,,
1902,IN.WB.JA,,
1903,,,
1904,IN.WB.UD,,
1905,,,
1906,IN.WB.MA,,
1907,IN.WB.MU,,
1908,IN.WB.BI,,
1909,IN.WB.BR,,
1910,IN.WB.NA,,
1911,,,
1912,IN.WB.HG,,
1913,IN.WB.BN,,
1914,IN.WB.PU,,
1915,,,
1916,IN.WB.HR,,
1917,IN.WB.KO,,
1918,,,
2001,IN.JH.GA,,
2002,IN.JH.PL,,
2003,IN.JH.CH,,
2004,IN.JH.HA,,
2005,,,
2006,IN.JH.GI,,
2007,IN.JH.DE,,
2008,IN.JH.GO,,
2009,IN.JH.SA,,
2010,,,
2011,IN.JH.DU,,
2012,IN.JH.DH,,
2013,IN.JH.BO,,
2014,IN.JH.RA,,
2015,IN.JH.LO,,
2016,IN.JH.GU,,
2017,,,
2018,,,
2101,IN.OR.BR,,
2102,IN.OR.JH,,
2103,IN.OR.SA,,
2104,,,
2105,IN.OR.SU,,
2106,,,
2107,IN.OR.MY,,
2108,IN.OR.BW,,
2109,IN.OR.BH,,
2110,IN.OR.KP,,
2111,IN.OR.JS,,
2112,IN.OR.CU,,
2113,IN.RJ.JP,,
2114,IN.OR.DH,,
2115,IN.OR.AN,,
2116,IN.OR.NY,,
2117,IN.OR.KH,,
2118,IN.OR.PU,,
2119,IN.OR.GN,,
2120,IN.OR.GP,,
2121,IN.OR.KN,,
2122,IN.OR.BD,,
2123,IN.OR.SO,,
2124,IN.OR.BL,,
2125,IN.OR.NU,,
2126,IN.OR.KL,,
2127,IN.OR.RA,,
2128,IN.OR.NB,,
2129,IN.OR.KO,,
2130,IN.OR.ML,,
2201,IN.CT.KJ,,
2202,IN.CT.SU,,
2203,IN.CT.JA,,
2204,IN.CT.RG,,
2205,IN.CT.KB,,
2206,IN.CT.JC,,
2207,IN.CT.BI,,
2208,IN.CT.KW,,
2209,IN.CT.RN,,
2210,IN.CT.DU,,
2211,IN.CT.RP,,
2212,IN.CT.MA,,
2213,IN.CT.DH,,
2214,IN.CT.KK,,
2215,IN.CT.BA,,
2216,IN.CT.DA,,
2301,IN.MP.SP,,
2302,IN.MP.MO,,
2303,IN.MP.BD,,
2304,IN.MP.GW,,
2305,IN.MP.DT,,
2306,IN.MP.SV,,
2307,IN.MP.GU,,
2308,IN.MP.TI,,
2309,IN.MP.CT,,
2310,IN.MP.PA,,
2311,IN.MP.SG,,
2312,IN.MP.DM,,
2313,IN.MP.ST,,
2314,IN.MP.RE,,
2315,IN.MP.UM,,
2316,IN.MP.SH,,
2317,IN.MP.SI,,
2318,IN.MP.NE,,
2319,IN.MP.MS,,
2320,IN.MP.RL,,
2321,IN.MP.UJ,,
2322,IN.MP.SJ,,
2323,IN.MP.DE,,
2324,IN.MP.JH,,
2325,IN.MP.DH,,
2326,IN.MP.IN,,
2327,IN.MP.WN,,
2328,IN.MP.BR,,
2329,IN.MP.EN,,
2330,IN.MP.RG,,
2331,IN.MP.VI,,
